q[1/A]     |F(q)|^2[e/A^2]
      0.2318520        0.7407551
      0.2328680        0.6709729
      0.2338845        0.6049820
      0.2349010        0.5427824
      0.2359170        0.4843609
      0.2369330        0.4296420
      0.2379490        0.3785741
      0.2389660        0.3310572
      0.2399820        0.2871258
      0.2409980        0.2466661
      0.2420140        0.2096104
      0.2430310        0.1758555
      0.2440470        0.1453900
      0.2450630        0.1180994
      0.2460790        0.0939013
      0.2470955        0.0726985
      0.2481120        0.0544143
      0.2491280        0.0389624
      0.2501440        0.0262386
      0.2511600        0.0161454
      0.2521770        0.0085767
      0.2531930        0.0034459
      0.2542090        0.0006408
      0.2552250        0.0000568
      0.2562415        0.0015890
      0.2572580        0.0051309
      0.2582740        0.0105711
      0.2592900        0.0178025
      0.2603060        0.0267156
      0.2613230        0.0372125
      0.2623390        0.0491631
      0.2633550        0.0624680
      0.2643710        0.0770190
      0.2653875        0.0927155
      0.2664040        0.1094436
      0.2674200        0.1270879
      0.2684360        0.1455521
      0.2694525        0.1647418
      0.2704690        0.1845458
      0.2714850        0.2048538
      0.2725010        0.2255770
      0.2735170        0.2466201
      0.2745340        0.2679082
      0.2755500        0.2893097
      0.2765660        0.3107553
      0.2775820        0.3321579
      0.2785985        0.3534451
      0.2796150        0.3745252
      0.2806310        0.3953098
      0.2816470        0.4157345
      0.2826630        0.4357276
      0.2836800        0.4552397
      0.2846960        0.4741694
      0.2857120        0.4924714
      0.2867280        0.5100892
      0.2877445        0.5269769
      0.2887610        0.5430742
      0.2897770        0.5583267
      0.2907930        0.5726980
      0.2918090        0.5861502
      0.2928260        0.5986575
      0.2938420        0.6101633
      0.2948580        0.6206515
      0.2958740        0.6300970
      0.2968910        0.6384870
      0.2979070        0.6457865
      0.2989230        0.6519908
      0.2999390        0.6570885
      0.3009555        0.6610767
      0.3019720        0.6639475
      0.3029880        0.6657007
      0.3040040        0.6663420
      0.3050200        0.6658787
      0.3060370        0.6643175
      0.3070530        0.6616759
      0.3080690        0.6579688
      0.3090850        0.6532165
      0.3101015        0.6474363
      0.3111180        0.6406559
      0.3121340        0.6329083
      0.3131500        0.6242201
      0.3141660        0.6146230
      0.3151830        0.6041421
      0.3161990        0.5928355
      0.3172150        0.5807324
      0.3182310        0.5678734
      0.3192475        0.5542954
      0.3202640        0.5400496
      0.3212800        0.5251891
      0.3222960        0.5097559
      0.3233125        0.4937898
      0.3243290        0.4773490
      0.3253450        0.4604934
      0.3263610        0.4432671
      0.3273770        0.4257225
      0.3283940        0.4078953
      0.3294100        0.3898749
      0.3304260        0.3716966
      0.3314420        0.3534169
      0.3324585        0.3350802
      0.3334750        0.3167498
      0.3344910        0.2984876
      0.3355070        0.2803402
      0.3365230        0.2623598
      0.3375400        0.2445818
      0.3385560        0.2270933
      0.3395720        0.2099271
      0.3405880        0.1931344
      0.3416045        0.1767553
      0.3426210        0.1608467
      0.3436370        0.1454627
      0.3446530        0.1306400
      0.3456690        0.1164230
      0.3466860        0.1028406
      0.3477020        0.0899603
      0.3487180        0.0778071
      0.3497340        0.0664178
      0.3507510        0.0558179
      0.3517670        0.0460615
      0.3527830        0.0371689
      0.3537990        0.0291692
      0.3548155        0.0220860
      0.3558320        0.0159488
      0.3568480        0.0107824
      0.3578640        0.0066040
      0.3588800        0.0034317
      0.3598970        0.0012801
      0.3609130        0.0001668
      0.3619290        0.0001004
      0.3629450        0.0010900
      0.3639615        0.0031433
      0.3649780        0.0062645
      0.3659940        0.0104532
      0.3670100        0.0157101
      0.3680260        0.0220327
      0.3690430        0.0294237
      0.3700590        0.0378613
      0.3710750        0.0473429
      0.3720910        0.0578567
      0.3731075        0.0693953
      0.3741240        0.0819368
      0.3751400        0.0954580
      0.3761560        0.1099431
      0.3771725        0.1253784
      0.3781890        0.1417341
      0.3792050        0.1589748
      0.3802210        0.1770818
      0.3812370        0.1960247
      0.3822540        0.2157931
      0.3832700        0.2363152
      0.3842860        0.2575774
      0.3853020        0.2795451
      0.3863185        0.3021915
      0.3873350        0.3254678
      0.3883510        0.3493241
      0.3893670        0.3737327
      0.3903830        0.3986506
      0.3914000        0.4240624
      0.3924160        0.4498746
      0.3934320        0.4760695
      0.3944480        0.5026029
      0.3954645        0.5294440
      0.3964810        0.5565337
      0.3974970        0.5838140
      0.3985130        0.6112530
      0.3995290        0.6388056
      0.4005460        0.6664519
      0.4015620        0.6940919
      0.4025780        0.7217079
      0.4035940        0.7492539
      0.4046110        0.7767128
      0.4056270        0.8039857
      0.4066430        0.8310543
      0.4076590        0.8578765
      0.4086755        0.8844215
      0.4096920        0.9106327
      0.4107080        0.9364586
      0.4117240        0.9618682
      0.4127400        0.9868231
      0.4137570        1.0113086
      0.4147730        1.0352386
      0.4157890        1.0586016
      0.4168050        1.0813601
      0.4178215        1.1034920
      0.4188380        1.1249523
      0.4198540        1.1456997
      0.4208700        1.1657163
      0.4218860        1.1849706
      0.4229030        1.2034545
      0.4239190        1.2211049
      0.4249350        1.2379179
      0.4259510        1.2538687
      0.4269675        1.2689445
      0.4279840        1.2831184
      0.4290000        1.2963641
      0.4300160        1.3086751
      0.4310325        1.3200408
      0.4320490        1.3304423
      0.4330650        1.3398643
      0.4340810        1.3483027
      0.4350970        1.3557501
      0.4361140        1.3622053
      0.4371300        1.3676528
      0.4381460        1.3720949
      0.4391620        1.3755324
      0.4401785        1.3779659
      0.4411950        1.3793958
      0.4422110        1.3798261
      0.4432270        1.3792634
      0.4442430        1.3777146
      0.4452600        1.3751849
      0.4462760        1.3716894
      0.4472920        1.3672378
      0.4483080        1.3618430
      0.4493245        1.3555164
      0.4503410        1.3482742
      0.4513570        1.3401389
      0.4523730        1.3311255
      0.4533890        1.3212529
      0.4544060        1.3105303
      0.4554220        1.2990016
      0.4564380        1.2866768
      0.4574540        1.2735825
      0.4584710        1.2597262
      0.4594870        1.2451634
      0.4605030        1.2299048
      0.4615190        1.2139786
      0.4625355        1.1974044
      0.4635520        1.1802158
      0.4645680        1.1624542
      0.4655840        1.1441387
      0.4666000        1.1252993
      0.4676170        1.1059470
      0.4686330        1.0861512
      0.4696490        1.0659231
      0.4706650        1.0452930
      0.4716815        1.0242848
      0.4726980        1.0029376
      0.4737140        0.9812947
      0.4747300        0.9593769
      0.4757460        0.9372152
      0.4767630        0.9148195
      0.4777790        0.8922639
      0.4787950        0.8695587
      0.4798110        0.8467326
      0.4808275        0.8238063
      0.4818440        0.8008220
      0.4828600        0.7778180
      0.4838760        0.7548137
      0.4848925        0.7318261
      0.4859090        0.7088931
      0.4869250        0.6860541
      0.4879410        0.6633259
      0.4889570        0.6407341
      0.4899740        0.6182806
      0.4909900        0.5960362
      0.4920060        0.5740016
      0.4930220        0.5521995
      0.4940385        0.5306413
      0.4950550        0.5093610
      0.4960710        0.4883876
      0.4970870        0.4677309
      0.4981030        0.4474102
      0.4991200        0.4274226
      0.5001360        0.4078251
      0.5011520        0.3886135
      0.5021679        0.3698042
      0.5031846        0.3513954
      0.5042010        0.3334201
      0.5052170        0.3158908
      0.5062330        0.2988136
      0.5072490        0.2821953
      0.5082660        0.2660321
      0.5092820        0.2503611
      0.5102980        0.2351756
      0.5113140        0.2204805
      0.5123310        0.2062670
      0.5133470        0.1925672
      0.5143631        0.1793697
      0.5153790        0.1666795
      0.5163955        0.1544886
      0.5174119        0.1428071
      0.5184280        0.1316343
      0.5194440        0.1209690
      0.5204600        0.1108061
      0.5214770        0.1011346
      0.5224930        0.0919687
      0.5235090        0.0832949
      0.5245250        0.0751080
      0.5255415        0.0673981
      0.5265580        0.0601627
      0.5275740        0.0533974
      0.5285900        0.0470910
      0.5296060        0.0412355
      0.5306230        0.0358155
      0.5316390        0.0308332
      0.5326550        0.0262720
      0.5336710        0.0221219
      0.5346875        0.0183698
      0.5357040        0.0150066
      0.5367200        0.0120217
      0.5377360        0.0094011
      0.5387526        0.0071312
      0.5397690        0.0052011
      0.5407850        0.0035979
      0.5418010        0.0023077
      0.5428170        0.0013169
      0.5438340        0.0006115
      0.5448500        0.0001790
      0.5458660        0.0000050
      0.5468820        0.0000756
      0.5478985        0.0003771
      0.5489150        0.0008957
      0.5499310        0.0016171
      0.5509470        0.0025277
      0.5519630        0.0036138
      0.5529799        0.0048632
      0.5539960        0.0062601
      0.5550120        0.0077920
      0.5560280        0.0094461
      0.5570445        0.0112102
      0.5580610        0.0130709
      0.5590770        0.0150148
      0.5600930        0.0170306
      0.5611090        0.0191064
      0.5621260        0.0212328
      0.5631420        0.0233944
      0.5641580        0.0255824
      0.5651740        0.0277860
      0.5661910        0.0299975
      0.5672070        0.0322024
      0.5682230        0.0343939
      0.5692390        0.0365626
      0.5702555        0.0387011
      0.5712720        0.0408001
      0.5722880        0.0428507
      0.5733040        0.0448468
      0.5743200        0.0467815
      0.5753370        0.0486499
      0.5763530        0.0504426
      0.5773690        0.0521556
      0.5783850        0.0537840
      0.5794015        0.0553236
      0.5804180        0.0567696
      0.5814340        0.0581173
      0.5824500        0.0593640
      0.5834661        0.0605072
      0.5844830        0.0615446
      0.5854990        0.0624726
      0.5865149        0.0632904
      0.5875310        0.0639968
      0.5885475        0.0645910
      0.5895640        0.0650722
      0.5905800        0.0654401
      0.5915960        0.0656952
      0.5926125        0.0658382
      0.5936290        0.0658697
      0.5946450        0.0657914
      0.5956610        0.0656045
      0.5966770        0.0653111
      0.5976940        0.0649130
      0.5987101        0.0644133
      0.5997260        0.0638146
      0.6007420        0.0631199
      0.6017585        0.0623316
      0.6027750        0.0614540
      0.6037910        0.0604909
      0.6048070        0.0594460
      0.6058230        0.0583231
      0.6068400        0.0571254
      0.6078560        0.0558594
      0.6088720        0.0545287
      0.6098880        0.0531374
      0.6109045        0.0516900
      0.6119210        0.0501917
      0.6129370        0.0486482
      0.6139530        0.0470634
      0.6149690        0.0454426
      0.6159860        0.0437891
      0.6170020        0.0421110
      0.6180180        0.0404118
      0.6190341        0.0386961
      0.6200510        0.0369679
      0.6210670        0.0352349
      0.6220829        0.0335006
      0.6230990        0.0317690
      0.6241155        0.0300451
      0.6251320        0.0283337
      0.6261480        0.0266405
      0.6271640        0.0249688
      0.6281800        0.0233231
      0.6291970        0.0217060
      0.6302130        0.0201247
      0.6312290        0.0185815
      0.6322450        0.0170802
      0.6332614        0.0156238
      0.6342781        0.0142158
      0.6352940        0.0128612
      0.6363100        0.0115618
      0.6373260        0.0103205
      0.6383430        0.0091391
      0.6393590        0.0080222
      0.6403750        0.0069712
      0.6413910        0.0059881
      0.6424075        0.0050746
      0.6434240        0.0042328
      0.6444400        0.0034647
      0.6454560        0.0027711
      0.6464725        0.0021531
      0.6474890        0.0016119
      0.6485050        0.0011485
      0.6495210        0.0007631
      0.6505370        0.0004561
      0.6515540        0.0002276
      0.6525700        0.0000779
      0.6535860        0.0000067
      0.6546021        0.0000134
      0.6556185        0.0000975
      0.6566350        0.0002585
      0.6576509        0.0004951
      0.6586670        0.0008065
      0.6596830        0.0011912
      0.6607000        0.0016484
      0.6617160        0.0021757
      0.6627320        0.0027718
      0.6637480        0.0034348
      0.6647645        0.0041631
      0.6657810        0.0049543
      0.6667970        0.0058057
      0.6678130        0.0067155
      0.6688290        0.0076812
      0.6698461        0.0087014
      0.6708620        0.0097710
      0.6718780        0.0108888
      0.6728940        0.0120519
      0.6739110        0.0132584
      0.6749270        0.0145034
      0.6759430        0.0157849
      0.6769590        0.0170999
      0.6779755        0.0184460
      0.6789920        0.0198196
      0.6800080        0.0212167
      0.6810240        0.0226352
      0.6820400        0.0240715
      0.6830570        0.0255244
      0.6840730        0.0269875
      0.6850890        0.0284595
      0.6861050        0.0299371
      0.6871215        0.0314179
      0.6881380        0.0328983
      0.6891540        0.0343745
      0.6901700        0.0358442
      0.6911860        0.0373048
      0.6922030        0.0387545
      0.6932189        0.0401877
      0.6942350        0.0416038
      0.6952510        0.0429991
      0.6962675        0.0443725
      0.6972840        0.0457203
      0.6983000        0.0470398
      0.6993160        0.0483291
